url,title,price,is_free,downloads,rating,rating_count,categories,features,creator,creator_template_count,category_rank,last_updated,preview_image_count
https://app.notion.com/marketplace/templates/all-the-write-stuff,All the Write Stuff: Worldbuilding & Books System,$129.00,False,1.1K+,4.9,35 ratings,"Creators, Books, Notes & Knowledge, Work, Freelance, Life, Entertainment, Personal Productivity","Charts, Forms, Layouts, Formulas",My Novel Tools,4 templates,,Last updated 7 weeks ago,14
https://app.notion.com/marketplace/templates/client-list-crm,Client List (CRM),Free,True,24K+,4.9,500+ ratings,"CRM, Networking, Sales, Work, School, Career Building, Life",Layouts,EdriansNotes,27 templates,#1 in CRM,Last updated 6 weeks ago,2
https://app.notion.com/marketplace/templates/my-school-dashboard-aashna-sanghani,My School Dashboard,$0.99,False,40K+,4.8,900+ ratings,"School, Life, Learning, Hobbies",,Aashna Sanghani,3 templates,#21 in Learning,Last updated 25 weeks ago,8
https://app.notion.com/marketplace/templates/your-ultimate-library,My Library — Book Tracker,Free,True,27K+,4.9,700+ ratings,"Books, Writing, Personal Planner, Life, Entertainment, Hobbies, Personal Productivity","Charts, Formulas",siddh,4 templates,#1 in Hobbies,Last updated 25 weeks ago,2
https://app.notion.com/marketplace/templates/tekacrm,"CRM | Clients, Contacts, Deals, and Growth.",$10.00,False,322,4.8,6 ratings,"CRM, Personal CRM, Sales, Work, School, Career Building, Networking, Life","Charts, Layouts, Formulas",Teka,22 templates,,Last updated 17 weeks ago,2
https://app.notion.com/marketplace/templates/stardew-valley-perfection-tracker,stardew valley perfection tracker,Free,True,9.1K+,4.9,200+ ratings,"Video Games, Personal Productivity, Life, Entertainment",,Stella Jo,4 templates,#22 in Entertainment,,2
https://app.notion.com/marketplace/templates/my-love,Love,Free,True,1K+,4.9,34 ratings,"Journaling, Personal Planner, Dating & Relationships, Life, Personal Productivity",,SocKelle,2 templates,#9 in Dating & Relationships,,2
https://app.notion.com/marketplace/templates/travel-planner-itinerary-budget-checklist,"Travel Planner - Itinerary, Budget, Checklist",$1.50,False,1.6K+,5.0,31 ratings,"Travel, Travel Planner, Life","Charts, Layouts, Formulas",CL,5 templates,,Last updated 35 weeks ago,10
https://app.notion.com/marketplace/templates/puppy-planner-pro,Puppy Planner Pro,$3.00,False,492,5.0,4 ratings,"Pets, Personal Productivity, Personal Planner, Life, Hobbies","Charts, Layouts",Diego,2 templates,,Last updated 24 weeks ago,2
https://app.notion.com/marketplace/templates/my-reading-journal-blue-aesthetic-reading-log,Reading Log for Bookworms: The Quiet Library,$1.99,False,662,5.0,21 ratings,"Books, Hobbies, Student Life, Life, Entertainment, School",Formulas,avery's templates,avery's templates,,,2
https://app.notion.com/marketplace/templates/personalos,Personal OS,$4.90,False,3.5K+,4.8,95 ratings,"Personal Productivity, Personal Goals, Personal Dashboards, Life, Seasonal, New Years","Layouts, Formulas",Roy,5 templates,#1 in Personal Dashboards,Last updated 2 weeks ago,2
https://app.notion.com/marketplace/templates/daily-routine-planner,Daily Routine Planner | Simple Version,$8.00,False,1.8K+,4.9,67 ratings,"Personal Planner, Personal Goals, To-Do Lists, Habit Tracking, Meal Prep, Life, Personal Productivity, Seasonal, New Years, School, Student Life, Food & Nutrition",,Filipa Sofia 🌼 ADHD | Life,33 templates,#30 in To-Do Lists,Last updated 26 weeks ago,2
https://app.notion.com/marketplace/templates/flashcards-pugo,Flashcards,Free,True,14K+,4.8,100+ ratings,"Student Life, Teaching, Learning, School, Life, Hobbies",Formulas,mrpugo,226 templates,#2 in Learning,Last updated 33 weeks ago,6
https://app.notion.com/marketplace/templates/bill-payment,Recurring Payments OS,$7.00,False,6.5K+,4.9,71 ratings,"Personal Finance, Business Finance, Financial Services, Life, Work","Charts, Layouts, Formulas, Workflows & Automations",AMIIC Wealth,51 templates,#1 in Financial Services,Last updated 5 days ago,6
https://app.notion.com/marketplace/templates/company-os-app,Company OS + Wiki,$139.00,False,,5.0,2 ratings,"Operations, Company Intranet, Employee Directory, Work, Enterprise, Wiki, People & Org, HR","Feed, Layouts, Formulas",EdriansNotes,27 templates,,Last updated 24 weeks ago,12
https://app.notion.com/marketplace/templates/ultimate-tbr-book-tracker,Ultimate TBR Book Tracker,$0.99,False,477,4.9,16 ratings,"Books, Personal Productivity, Personal Goals, Life, Entertainment, Seasonal, New Years",Layouts,KB Custom Designs,21 templates,#40 in Books,Last updated 17 weeks ago,8
https://app.notion.com/marketplace/templates/ultimate-resource-library,Bookmark - Ultimate Resource Library,$48.00,False,1.4K+,4.9,46 ratings,"Notes & Knowledge, Knowledge Base, Product Knowledge Base, Marketing, Documentation, Life, Personal Productivity, Wiki, Work, Product, Docs",Formulas,Ecom Reserve,18 templates,,Last updated 26 weeks ago,2
https://app.notion.com/marketplace/templates/s3-content-creation-system,S3 Content Creation System,$19.98,False,219,5.0,5 ratings,"Social Media Planner, Content Calendar, Creators, Work, Marketing, Social Media, Project Management, Roadmaps & Calendars, Design, Freelance",Layouts,Soul Systems Studio,12 templates,,Last updated 24 weeks ago,14
https://app.notion.com/marketplace/templates/personal-crm-nodi,Personal CRM: Contacts and Birthday tracker,Free,True,4.5K+,4.9,89 ratings,"Personal CRM, CRM, Friends & Family, School, Career Building, Networking, Life, Work, Sales",Formulas,Nodi,8 templates,#9 in Friends & Family,Last updated 32 weeks ago,2
https://app.notion.com/marketplace/templates/homework-tracker-arno,Homework Tracker,$4.99,False,17K+,4.7,300+ ratings,"Student Planner, Student Life, Habit Tracking, School, Study Planner, Life, Personal Productivity",,arno,5 templates,,Last updated 43 weeks ago,6
https://app.notion.com/marketplace/templates/pet-training-tracker,Pet Training Tracker,Free,True,992,4.9,19 ratings,"Hobbies, Pets, Personal Goals, Life, Seasonal, New Years, Personal Productivity",,Mikaela Ann,1 template,,,2
https://app.notion.com/marketplace/templates/the-cozy-ceo-desk-for-small-business-owners,The Cozy CEO Desk – for Small Business Owners,$5.00,False,,5.0,3 ratings,"Brand Guidelines, Planning & Goals, Startup, Work, Marketing, Website Building, Design, Wiki, Knowledge Base, Project Management",,Art by Clouie,39 templates,,,12
https://app.notion.com/marketplace/templates/the-2026-life-planner-all-in-one-goal-habit-daily-plann,The 2026 Life Planner — All-in-One Planning System,Free,True,5.5K+,4.9,50 ratings,"Personal Planner, Planning & Goals, New Years, Life, Personal Productivity, Project Management, Seasonal",Formulas,heyismail,312 templates,#31 in Planning & Goals,Last updated 22 weeks ago,2
https://app.notion.com/marketplace/templates/theultimateweddingplanner,"Wedding Planner Budget, Itinerary, Tasks & More",Free,True,17K+,4.9,200+ ratings,"Weddings, Personal Planner, Budgets, Life, Dating & Relationships, Personal Productivity, School, Student Life, Personal Finance","Charts, Layouts, Formulas",Hey Gloria,2 templates,#7 in Budgets,Last updated 46 weeks ago,14
https://app.notion.com/marketplace/templates/travel-planner-pro,Travel Planner,$9.99,False,183,5.0,7 ratings,"Travel, Travel Planner, Travel Wishlists, Life",,The 5am Club,16 templates,,,2
https://app.notion.com/marketplace/templates/that-girl-s-wishlist-pinterest-shopping-list,That Girl's Shopping Wishlist,$5.00,False,186,4.6,7 ratings,"Gifts & Wish List, Life, Seasonal","Layouts, Formulas",Nicole Dziurman | Hyphen,16 templates,,Last updated 29 weeks ago,6
https://app.notion.com/marketplace/templates/quick-book-appointments,Quick Book Appointments,$0.99,False,732,4.7,14 ratings,"CRM, Work, Sales","Forms, Layouts",Alessandro Moretti | OverPress Media,3 templates,#28 in CRM,Last updated 43 weeks ago,6
